date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:47	1784/1784	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226f8-5d84bf0e157c0%22	https://stolicarp.pl/assets/img/cybervio.svg	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/cybervio.svg	(from https://stolicarp.pl/)
10:52:48	33122/33122	---M--	200	added ('OK')	image/png	etag:%228162-5db30052865c0%22	https://stolicarp.pl/assets/img/pev2.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/pev2.png	(from https://stolicarp.pl/)
10:52:48	64076/64076	---M--	200	added ('OK')	image/png	etag:%22fa4c-5c106304efa00%22	https://stolicarp.pl/assets/img/LOGOTYP.png	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/img/LOGOTYP.png	(from https://stolicarp.pl/)
10:52:48	19004/19004	---M-Z	200	added ('OK')	application/javascript	etag:%224a3c-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/core/popper.min.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/core/popper.min.js	(from https://stolicarp.pl/)
10:52:48	59177/59177	---M-Z	200	added ('OK')	application/javascript	etag:%22e729-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/core/bootstrap.min.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/core/bootstrap.min.js	(from https://stolicarp.pl/)
10:52:49	19411/19411	---M-Z	200	added ('OK')	application/javascript	etag:%224bd3-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/plugins/perfect-scrollbar.min.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/plugins/perfect-scrollbar.min.js	(from https://stolicarp.pl/)
10:52:49	4679/4679	---M-Z	200	added ('OK')	application/javascript	etag:%221247-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/plugins/countup.min.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/plugins/countup.min.js	(from https://stolicarp.pl/)
10:52:49	1258/1258	---M-Z	200	added ('OK')	application/javascript	etag:%224ea-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/plugins/parallax.min.js	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/plugins/parallax.min.js	(from https://stolicarp.pl/)
10:52:50	4952/4952	---M-Z	200	added ('OK')	application/javascript	etag:%221358-5db0899f8e440-gzip%22	https://stolicarp.pl/assets/js/soft-design-system.min.js?v=1.0.7	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/js/soft-design-system.minf2ad.js	(from https://stolicarp.pl/)
10:52:51	18516/18516	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224854-5db0899f8e440%22	https://stolicarp.pl/assets/fonts/nucleo-icons.eot	C:/Users/Admin/Desktop/stolica/stolicarp.pl/assets/fonts/nucleo-icons.eot	(from https://stolicarp.pl/assets/css/nucleo-icons.css)
